self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag	
7.25628737506	0.0	0.0	0.0	0.0	1.73237072477	9.5410760717	
0.0	0.0	0.0	0.0	0.0	2.89030198372	25.2238395235	
0.0	0.0	0.0	0.0	0.0	8.36130089735	21.2916864403	
16.4649031513	0.0	0.0	7.32291755514	0.0	6.2378642011	16.6805692829	
26.3221735217	0.0	0.0	18.7318138265	0.0	4.55049175527	12.9934156901	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2.53421054221	0.0	0.0	0.0	0.0	3.85759385133	15.7775485801	
0.0	0.0	0.0	0.0	0.0	0.0	4.08884175831e-15	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	1.83563247129e-15	
