self	others	symptoms	News or awareness tweet	cdc or gov	joke or irrelevant	other related	New Suspected With Lag	
0.0	0.0	0.0	0.0	0.0	0.0	54.4444276738	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
50.2534945277	0.0	7.07997533905	2.95745805302	0.0	0.0241323026003	0.0	
0.0	0.0	0.0	0.0	0.0	8.38763773461	0.0	
0.0	0.0	0.0	0.0	107.851389079	0.0	14.050549279	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	
28.2459912892	0.0	0.0	0.0	0.0	0.0	18.7559140534	
20.1298180315	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	18.4112858074	
0.0	0.0	0.0	0.0	0.0	0.0	5.97569566187	
0.0	0.0	0.0	0.0	0.0	0.0	17.9802016103	
0.0	0.0	0.0	0.0	0.0	0.192438551805	0.0	
5.67514316246	0.0	0.0	0.0	0.0	0.0	0.0	
29.9253314033	0.0	0.0	0.0	0.0	0.0	9.54602074881	
0.0	0.0	0.0	0.0	0.0	0.0	107.290293641	
0.0	0.0	902.148942643	0.0	3.97903932026e-13	0.0	74.3535790384	
0.0	0.0	0.0	0.0	0.0	0.0	98.1829011399	
