Predicted	Real
172.925903565	202
1037.48872808	140
128.6	390
1405.10558805	563
484.959302479	953
357.072937589	1174
413.666666667	356
466.87616461	762
875.931428859	530
447.583333333	906
728.495923139	1029
1208.95392708	730
1312.20978122	2437
1314.99230186	1380
672.701772266	1371
733.236256859	1363
660.877503183	1163
614.454290517	1036
787.640848269	3984
488.460606238	1679
626.644894555	1661
885.948467161	239
