self	others	News or awareness tweet	joke or irrelevant	other related
0	0	0	0	0.507449703
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
1	0	0.274216037	0.002877127	0
0	0	0	1	0
0	0	1	0	0.130958252
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0.551103716	0	0	0	0.17481464
0.392750157	0	0	0	0
0	0	0	0	0.17160253
0	0	0	0	0.055696517
0	0	0	0	0.167584606
0	0	0	0.022943117	0
0.110726951	0	0	0	0
0.583869094	0	0	0	0.088973759
0	0	0	0	1
0	0	0	0	0.6930131
0	0	0	0	0.915114479
