date	lat	lon
7/26/2014 23:58	18.378	-66.021
7/27/2014 0:18	18.378	-66.021
7/27/2014 5:21	18.431	-66.039
7/27/2014 15:53	18.387	-66.03
7/27/2014 16:13	18.412	-66.001
7/27/2014 20:55	18.395	-66.094
7/28/2014 2:15	18.413	-65.959
7/28/2014 12:23	18.424	-65.988
7/28/2014 12:46	17.978	-66.604
7/28/2014 18:53	18.431	-66.039
7/28/2014 19:12	18.447	-66.073
7/28/2014 19:50	18.447	-66.073
7/28/2014 21:15	18.391	-67.114
7/28/2014 21:52	18.365	-66.02
7/29/2014 2:34	18.363	-65.897
7/29/2014 2:39	18.363	-65.897
7/29/2014 3:13	18.393	-66.144
7/29/2014 3:14	18.437	-66.191
7/29/2014 3:14	18.383	-66.127
7/29/2014 4:27	18.443	-66.075
7/29/2014 12:27	18.173	-66.154
7/29/2014 12:32	18.351	-66.065
7/29/2014 15:39	18.374	-65.72
7/29/2014 15:41	18.373	-65.74
7/29/2014 16:31	18.391	-66.094
7/29/2014 18:06	18.363	-65.897
7/29/2014 19:17	18.234	-66.02
7/30/2014 4:45	18.437	-66.003
7/30/2014 4:51	18.432	-66.035
7/30/2014 11:38	18.416	-66.104
7/30/2014 11:42	18.329	-66.202
7/30/2014 11:43	18.346	-65.67
7/30/2014 11:50	18.426	-66.076
7/30/2014 12:40	18.32	-66.215
7/30/2014 19:37	18.348	-66.182
7/30/2014 23:20	18.442	-66.033
7/31/2014 5:16	18.284	-66.093
7/31/2014 6:20	18.385	-66.103
7/31/2014 18:33	18.455	-66.086
7/31/2014 20:37	18.442	-66.033
7/31/2014 21:25	18.404	-66.056
7/31/2014 21:27	18.22	-66.02
8/1/2014 0:52	18.381	-65.869
8/1/2014 3:18	18.271	-65.967
8/1/2014 11:37	18.425	-66.063
8/1/2014 16:46	18.361	-66.189
8/1/2014 19:33	18.391	-66.167
8/1/2014 20:04	18.356	-66.084
8/2/2014 13:40	18.442	-66.033
8/2/2014 18:47	18.376	-66.074
8/2/2014 21:28	18.32	-66.215
8/2/2014 21:50	18.442	-66.033
8/2/2014 21:59	18.255	-66.101
8/3/2014 4:57	18.374	-65.72
8/3/2014 6:23	18.05	-66.868
8/3/2014 6:26	18.054	-66.87
8/3/2014 20:25	18.446	-66.036
8/3/2014 22:31	18.452	-66.05
8/4/2014 11:06	17.985	-66.051
8/4/2014 14:24	18.32	-66.215
8/4/2014 14:25	18.402	-66.101
8/4/2014 18:50	17.999	-66.873
8/4/2014 20:27	18.425	-65.978
8/6/2014 1:13	18.45	-66.076
8/6/2014 2:29	18.013	-66.632
8/6/2014 4:58	18.434	-66.389
8/6/2014 11:04	18.402	-66.067
8/6/2014 13:15	18.006	-66.773
8/6/2014 15:02	18.384	-66.087
8/6/2014 19:01	18.426	-66.047
8/6/2014 19:02	18.451	-66.071
8/7/2014 0:07	18.403	-67.165
8/7/2014 0:13	18.403	-67.165
8/7/2014 1:40	18.328	-65.315
8/7/2014 3:17	18.384	-66.087
8/7/2014 12:58	18.381	-66.104
8/7/2014 13:56	18.33	-66.201
8/7/2014 14:22	18.446	-66.035
8/7/2014 14:26	18.32	-66.215
8/7/2014 14:32	18.446	-66.035
8/7/2014 14:58	18.401	-66.052
8/7/2014 15:30	18.416	-66.085
8/7/2014 15:31	18.38	-67.189
8/7/2014 17:43	18.321	-66.215
8/7/2014 21:29	18.395	-66.173
8/7/2014 23:40	18.422	-66.123
8/8/2014 1:17	18.312	-66.136
8/8/2014 2:05	18.374	-65.72
8/8/2014 3:50	18.452	-66.077
8/8/2014 6:01	18.466	-66.113
8/8/2014 6:07	18.456	-66.066
8/8/2014 12:06	18.385	-66.103
8/8/2014 15:45	18.32	-66.215
8/8/2014 16:39	18.379	-65.801
8/9/2014 14:04	18.425	-65.986
8/9/2014 19:48	18.23	-66.063
8/10/2014 14:06	18.057	-66.872
8/10/2014 17:04	18.371	-66.124
8/10/2014 17:09	18.42	-65.995
8/10/2014 21:01	18.392	-66.254
8/11/2014 1:18	18.34	-67.185
8/11/2014 2:36	18.437	-66.058
8/11/2014 10:11	18.363	-67.231
8/11/2014 12:45	18.301	-65.648
8/11/2014 15:42	18.22	-65.994
8/11/2014 19:08	18.448	-66.178
8/11/2014 22:48	18.482	-66.77
8/11/2014 23:59	18.203	-67.143
8/12/2014 1:27	18.4	-66.017
8/12/2014 2:26	18.413	-66.03
8/12/2014 14:32	18.426	-65.981
8/12/2014 15:28	18.39	-66.04
8/12/2014 22:33	18.41	-66.026
8/13/2014 0:12	18.444	-66.048
8/13/2014 0:16	18.443	-66.048
8/13/2014 0:16	18.443	-66.048
8/13/2014 0:16	18.443	-66.048
8/13/2014 2:02	18.395	-66.074
8/13/2014 3:08	18.437	-66.058
8/13/2014 19:55	18.171	-66.147
8/14/2014 0:04	18.396	-65.959
8/14/2014 0:05	18.396	-65.959
8/14/2014 0:10	18.396	-65.959
8/14/2014 11:04	18.416	-66.084
8/15/2014 0:28	18.395	-66.143
8/15/2014 1:49	18.395	-66.094
8/15/2014 2:46	18.089	-65.807
8/15/2014 4:26	18.411	-65.973
8/15/2014 12:21	18.089	-65.807
8/15/2014 13:42	18.378	-66.148
8/15/2014 20:15	18.415	-65.99
8/15/2014 22:41	18.357	-66.051
8/16/2014 0:00	18.437	-66.191
8/16/2014 23:57	18.499	-67.02
8/17/2014 4:04	18.447	-66.04
8/17/2014 12:25	18.416	-66.194
8/17/2014 18:34	18.408	-65.979
8/18/2014 0:02	18.445	-66.011
8/18/2014 3:50	18.464	-66.102
8/18/2014 11:50	18.224	-66.131
8/18/2014 12:03	18.369	-66.011
8/18/2014 12:28	18.224	-66.131
8/18/2014 13:29	18.393	-66.032
8/18/2014 14:50	18.254	-66.731
8/18/2014 15:06	17.993	-66.607
8/18/2014 16:40	18.404	-66.108
8/18/2014 17:11	18.361	-66.116
8/18/2014 21:36	18.395	-66.094
8/18/2014 21:37	18.406	-65.971
8/18/2014 21:42	18.406	-65.971
8/18/2014 22:11	18.359	-66.005
8/18/2014 22:55	18.378	-65.849
8/18/2014 23:10	18.224	-66.131
8/18/2014 23:40	18.393	-66.206
8/19/2014 0:17	18.402	-66.101
8/19/2014 0:22	18.374	-66.035
8/20/2014 3:34	18.171	-67.14
8/20/2014 17:46	18.418	-65.999
8/20/2014 17:58	18.321	-66.215
8/20/2014 21:23	18.382	-66.091
8/20/2014 23:17	18.067	-66.224
8/20/2014 23:36	18.398	-66.068
8/21/2014 0:01	18.398	-66.068
8/21/2014 4:05	18.384	-66.095
8/21/2014 16:25	18.396	-66.011
8/22/2014 1:02	18.414	-66.034
8/22/2014 3:08	18.37	-65.93
8/22/2014 8:37	18.368	-66.077
8/22/2014 14:27	18.321	-66.215
8/22/2014 20:32	18.234	-66.028
8/23/2014 0:00	18.367	-66.111
8/23/2014 2:22	18.426	-66.005
8/23/2014 2:55	18.254	-66.669
8/23/2014 5:23	18.22	-65.996
8/23/2014 5:24	18.224	-66.131
8/23/2014 5:24	18.22	-65.995
8/23/2014 5:25	18.224	-66.131
8/23/2014 14:36	18.403	-66.054
8/23/2014 17:07	18.394	-66.016
8/23/2014 18:42	18.407	-66.184
8/23/2014 19:05	18.447	-66.395
8/24/2014 1:21	18.282	-66.26
8/24/2014 16:45	18.394	-65.995
8/24/2014 23:18	18.388	-65.965
8/25/2014 0:41	18.451	-66.059
8/25/2014 2:32	18.381	-65.901
8/25/2014 9:06	18.381	-65.901
8/25/2014 14:33	18.39	-66.098
8/25/2014 18:04	18.414	-66.07
8/25/2014 22:43	18.227	-65.942
8/25/2014 23:20	18.369	-66.089
8/26/2014 1:34	18.345	-66.144
8/26/2014 10:42	18.451	-66.066
8/26/2014 13:48	18.418	-65.996
8/26/2014 15:58	18.381	-65.901
8/26/2014 19:39	18.209	-65.735
8/27/2014 1:15	18.4	-66.005
8/27/2014 1:21	18.384	-66.095
8/27/2014 2:23	18.44	-66.014
8/27/2014 2:54	18.384	-66.095
8/27/2014 3:13	18.4	-66.059
8/27/2014 13:31	18.404	-66.057
8/27/2014 18:57	18.451	-66.071
8/27/2014 19:04	18.398	-66.068
8/27/2014 21:17	18.386	-65.874
8/27/2014 21:37	18.443	-66.062
8/27/2014 22:40	18.437	-66.191
8/27/2014 23:08	18.395	-66.151
8/27/2014 23:09	18.414	-66.093
8/28/2014 1:23	18.113	-66.166
8/28/2014 10:58	18.443	-66.062
8/28/2014 11:26	18.455	-66.069
8/28/2014 17:46	18.44	-66.066
8/28/2014 18:04	18.396	-65.997
8/28/2014 20:17	18.412	-66.1
8/28/2014 20:40	18.389	-65.98
8/28/2014 21:31	18.452	-66.062
8/28/2014 22:51	18.236	-66.659
8/28/2014 23:00	18.437	-66.191
8/29/2014 3:23	18.393	-66.192
8/29/2014 11:03	18.36	-66.008
8/29/2014 12:45	18.254	-66.731
8/29/2014 14:19	18.321	-66.215
8/29/2014 14:29	18.406	-66.007
8/29/2014 16:52	18.414	-66.093
8/29/2014 20:06	18.357	-66.449
8/29/2014 20:18	18.405	-66.058
8/29/2014 21:35	18.376	-66.172
8/30/2014 1:45	18.384	-66.095
8/30/2014 2:04	18.407	-66.109
8/30/2014 19:55	18.371	-66.164
8/31/2014 0:33	18.361	-66.113
8/31/2014 0:51	18.375	-66.192
8/31/2014 13:07	18.038	-66.632
8/31/2014 14:57	18.359	-66.125
8/31/2014 16:19	18.369	-66.059
8/31/2014 16:50	18.379	-66.1
8/31/2014 16:52	18.286	-65.891
8/31/2014 17:08	18.359	-66.071
8/31/2014 23:17	18.372	-66.065
9/1/2014 4:46	18.35	-65.998
9/1/2014 6:06	18.448	-66.071
9/1/2014 21:44	18.395	-66.094
9/1/2014 23:00	18.398	-66.147
9/1/2014 23:56	18.442	-66.216
9/2/2014 3:07	18.434	-66.178
9/2/2014 4:33	18.365	-66.017
9/2/2014 5:01	18.353	-66.209
9/2/2014 10:43	18.322	-66.144
9/2/2014 13:27	18.406	-66.187
9/2/2014 17:00	18.403	-66.05
9/2/2014 17:24	17.97	-66.108
9/2/2014 18:36	18.427	-65.987
9/2/2014 19:34	18.239	-66.072
9/2/2014 20:01	18.432	-65.981
9/2/2014 21:28	18.454	-66.087
9/2/2014 23:19	18.371	-66.189
9/2/2014 23:30	18.236	-66.013
9/2/2014 23:36	18.436	-66.055
9/3/2014 0:12	18.136	-66.148
9/3/2014 0:35	18.416	-66.094
9/3/2014 1:40	17.979	-66.297
9/3/2014 2:06	18.346	-66.054
9/3/2014 2:09	18.334	-66.07
9/3/2014 12:59	18.373	-65.798
9/3/2014 13:01	18.373	-65.798
9/3/2014 13:03	18.373	-65.798
9/3/2014 20:29	18.394	-66.235
9/3/2014 22:08	18.395	-66.145
9/3/2014 23:42	18.437	-66.191
9/3/2014 23:47	18.023	-66.605
9/3/2014 23:49	18.353	-66.027
9/4/2014 0:16	18.023	-66.607
9/4/2014 1:04	17.998	-66.814
9/4/2014 3:51	18.403	-66.047
9/4/2014 4:02	18.442	-66.172
9/4/2014 4:22	18.236	-66.013
9/4/2014 8:51	18.434	-65.868
9/4/2014 13:29	18.375	-66.192
9/4/2014 14:53	18.407	-66.049
9/4/2014 14:53	18.406	-66.046
9/4/2014 17:42	18.406	-66.046
9/4/2014 18:03	18.412	-65.992
9/4/2014 18:20	18.399	-66.097
9/4/2014 19:03	18.4	-66.059
9/4/2014 19:38	18.441	-66.119
9/4/2014 21:33	18.373	-65.798
9/4/2014 23:05	18.374	-66.035
9/4/2014 23:18	18.406	-66.066
9/5/2014 1:43	18.42	-65.891
9/5/2014 2:30	18.347	-66.186
9/5/2014 2:44	18.431	-65.878
9/5/2014 5:13	18.005	-66.609
9/5/2014 16:12	18.441	-66.119
9/5/2014 19:05	18.358	-66.05
9/5/2014 19:44	18.36	-66.047
9/5/2014 22:07	18.429	-66.455
9/5/2014 22:08	18.404	-66.055
